施設CD,施設名
131825082,よしの耳鼻咽喉科クリニック
131825090,医療法人社団　弘明会　石橋内科歯科医院
131825108,すずき小児科医院
131825116,金子医院
131825124,医療法人社団　中村内科小児科医院
131825140,吉田医院
131825165,医療法人社団　海山会　鈴木整形外科
131825173,大泉内科クリニック
131825249,社団法人荒川区医師会　平日準夜間小児初期救急医療センター
131825256,和クリニック
131825264,医療法人社団　平永会　日下診療所
131825272,医療法人社団　くすのき会　わかすぎ小児科クリニック
131825280,はやし診療所
131825298,田中整形外科
131825322,ひろせ内科外科クリニック
131825348,山田こどもクリニック
131825363,医療法人社団　鈴木こどもクリニック
131825371,町屋小児科内科医院
131825397,松林整形外科クリニック
131825421,汐入耳鼻咽喉科
131825447,稲富医院
131825470,医療法人社団　いなばキッズクリニック
131825488,医療法人社団　うえだ眼科クリニック
131825496,小山内科医院
131825512,社会福祉法人　上智社会事業団　上智クリニック
131825546,陳内科クリニック
131825553,東京女子医科大学東医療センター日暮里クリニック４階
131825561,医療法人社団　久悠眞会　山本医院
131825579,東京女子医科大学東医療センター日暮里クリニック５階
131825595,車庫前こころのクリニック
131825603,医療法人社団　桂文会　堀整形外科医院
131825611,医療法人社団　桂文会　堀メディカルクリニック
131825629,医療法人社団　たか博会　リーデンスタワークリニック
131825645,尾久駅前内科クリニック
131825652,医療法人社団　水聖会　メディカルスキャニング日暮里
131825678,野中クリニック
131825686,医療法人社団　緑紋会　小泉医院
131825694,財団法人　鉄道弘済会　義肢装具サポートセンター付属診療所
131825702,医療法人社団　雄昻会　やたがいクリニック
131825736,医療法人社団　讃友会　あべクリニック
131825744,医療法人社団　三光会　東日暮里クリニック
131825751,飯土用内科
131825793,医療法人社団　若杉会　わかすぎファミリークリニック
131825819,おいぬま内科
131825843,医療法人社団　慶新会　菊池皮膚科医院
131825850,はたの耳鼻咽喉科
131825868,ハートクリニック南千住
131825876,南千住こどもクリニック
131825884,はちすか整形外科
131825892,赤池医院
131825918,医療法人社団　Ｍ．Ｓ．ハーベスト　いしかわ日暮里クリニック
131825934,医療法人社団　サウスリバー会　かどた内科クリニック
131825942,医療法人社団　ふかい整形外科医院
131825959,斉藤医院
131825967,いなみ整形外科クリニック
131825975,ユミ眼科クリニック
131825983,医療法人社団　朋仁会　友田クリニック
131825991,医療法人社団　荒川名倉整形　荒川名倉整形
131826007,上杉医院
131826015,女性とこころのクリニック
131826023,医療法人社団　仲村整形外科医院
131826031,汐入眼科クリニック
131826056,町屋五丁目整形外科クリニック
131826064,医療法人社団　三光会　東日暮里整形外科
131826080,医療法人社団　新穂会　町屋皮フ科クリニック
131826098,医療法人社団　秀洋会　白十字診療所
131826114,医療法人社団　東京白報会　町屋駅前眼科
131826122,医療法人社団　東京白報会　あおぞらクリニック
131826130,ひぐらし整形外科内科
131826148,小沼医院
131826155,医療法人社団　公尽会　さいとうクリニック
131826163,吉野内科小児科医院
131826171,熊野前にしむら内科クリニック
131826189,医療法人社団　武田内科小児科クリニック
131826197,ういずクリニック西尾久
131826205,医療法人社団　聖幸会　茂澤クリニック
131870088,医療法人社団　愛和会　南千住病院
131870807,三ノ輪病院
131870815,医療法人社団　杏精会　岡田病院
131870831,医療法人社団　藤寿会　佐藤病院
131870849,医療法人社団　成守会　はせがわ病院
131870872,医療法人社団　美誠会　荒川病院
131870880,社会医療法人社団　正志会　東京リバーサイド病院
131911585,医療法人社団　田島厚生会　舟渡病院
131911627,医療法人財団　同潤会　富士見病院
131911635,医療法人財団　健康文化会　小豆沢病院
131911692,医療法人財団　仁寿会　荘病院
131911700,心身障害児総合医療療育センター
131911718,医療法人社団　翠会　成増厚生病院
131915123,公益財団法人　愛世会　愛誠病院
131915131,一般財団法人　精神医学研究所　附属東京武蔵野病院
131916121,医療法人社団　明芳会　板橋中央総合病院
131918358,医療法人財団　朔望会　常盤台外科病院
131919976,常盤台病院
131919984,板橋区医師会病院
131921360,田幡医院
131922186,藤野医院
131922368,阪本医院
131922384,定月医院
131922541,キジマ医院
131922913,望月外科医院
131923002,須賀医院
131923028,鈴木医院
131923382,初海整形外科
131923747,石神医院
131923762,青木小児科医院
131923796,長谷川眼科
131923960,宮下産科婦人科医院
131924182,胃腸科ときわ台クリニック
131924190,今本クリニック
131924315,絹川内科小児科医院
131924414,岩田医院
131924570,赤星医院
131924869,工藤クリニック
131924893,武井内科小児科
131924935,山田耳鼻咽喉科
131924968,井垣医院
131925148,坂本眼科医院
131925163,共助会医院
131925171,林内科医院
131925189,早川医院
131925205,戸島医院
131925338,内村医院
131925437,志賀耳鼻咽喉科気管食道科医院
131925460,野澤医院
131925619,岡田医院
131925783,南町耳鼻咽喉科医院
131925957,医療法人財団　健康文化会　坂下診療所
131925999,北原医院三園診療所
131926229,野口医院
131926237,長谷川眼科蓮根医院
131926245,川名眼科医院
131926344,赤塚駅前クリニック
131926385,望月内科クリニック
131926476,山本医院
131926542,上板橋クリニック
131926583,西台皮フ科クリニック
131926690,赤塚皮膚科管医院
131926773,香川内科小児科医院
131926807,徳山内科外科
131926831,片岡医院
131926849,ちとせクリニック
131926906,黄田耳鼻咽喉科医院
131927292,佐藤クリニック
131927300,仁木医院
131927318,弘瀬医院
131927334,坂上眼科医院
131927359,和田クリニック
131927409,医療法人社団　貞真会　貞永クリニック
131927417,医療法人社団　東野眼科医院
131927441,医療法人社団　順風会　高島平クリニック
131927482,鈴木耳鼻咽喉科
131927516,千川クリニック
131927524,医療法人社団　山愛会　山倉医院
131927573,医療法人社団　樹光会　宮田医院
131927581,清水医院
131927607,都築医院
131927698,医療法人社団　明光会　朝岡眼科クリニック
131927714,水野醫院
131927722,杉内医院
131927789,塙皮膚科
131927839,山倉眼科
131927847,有田医院
131927862,上原内科医院
131927870,医療法人社団　康成会　荒瀬医院
131927888,医療法人社団　明珠会　中川医院
131927912,医療法人社団　彩仁会　成増眼科医院
131927946,まきたメンタルクリニック
131927961,医療法人社団　翔生会　楠医院
131927979,医療法人社団　医新会　医新クリニック
131928001,幸田整形外科医院
131928027,フルヤ眼科クリニック
131928035,医療法人社団　央未会　成増メンタルクリニック
131928068,北原クリニック
131928084,天木診療所
131928100,医療法人社団　桐心会　林クリニック
131928209,医療法人社団　健恵会　佐藤医院
131928217,花島医院
131928225,医療法人社団　望月クリニック
131928241,医療法人社団　眞正会　大國医院
131928274,矢沢医院
131928308,たにもとクリニック
131928316,右田医院
131928340,医療法人社団　糖友会　あいそ内科
131928357,医療法人社団　高樹会　高山整形外科
131928365,成増高橋眼科
131928415,さめしま皮フ科
131928522,医療法人社団　宮下医院
131928555,高島平りゅう医院
131928597,鈴木医院
131928605,医療法人社団　祥和会　中村内科クリニック
131928613,山下内科消化器科
131928639,ツチヤクリニック
131928647,伊藤内科小児科クリニック
131928696,医療法人社団　明珠会　中川医院耳鼻咽喉科
131928746,医療法人社団　南ときわ台耳鼻咽喉科
131928753,医療法人社団　醫征会　渡邉医院
131928787,三枝メディカルクリニック
131928795,弓倉医院
131928803,平山医院
131928829,医療法人社団　明芳会　高島平中央総合病院附属　西台ロイヤル診療所
131928852,鈴木眼科クリニック
131928894,医療法人社団　高卯会　髙野皮膚科
131928928,医療法人社団　櫻美会　石川医院
131928951,赤塚内科　伊賀医院
131928993,板橋区役所前クリニック
131929025,太田内科クリニック
131929033,あべクリニック
131929041,医療法人社団　規十会　西台整形外科クリニック
131929082,清水クリニック
131929116,医療法人社団　寿祥会　よりふじ医院
131929124,耳鼻咽喉科新町クリニック
131929132,医療法人社団　立木会　高橋整形外科
131929140,医療法人社団　優生会　知念胃腸科内科
131929199,浅倉内科クリニック
131929215,医療法人社団　慈慶会　石澤内科クリニック
131929223,医療法人社団　桜楓会　岡部医院
131929256,医療法人社団　翠会　こころのクリニックなります
131929272,医療法人社団　明芳会　板橋中央総合病院附属根ロイヤルクリニック
131929280,医療法人社団　ウェルネスササキクリニック
131929306,落合医院
131929371,医療法人社団　聡伸会　今村医院
131929389,医療法人社団　英植会　木村整形外科
131929397,医療法人社団　西台耳鼻咽喉科医院
131929413,渡辺産婦人科医院
131929421,勝又内科医院
131929454,長瀬クリニック
131929470,永医院
131929488,つくしんぼ大山診療所
131929496,井上医院
131929504,はちすクリニック
131929595,医療法人社団　一期会　くろさか青木クリニック
131929603,おおはし医院
131929629,医療法人社団　整秀会　田辺整形外科医院
131929637,医療法人社団　慶湘会　成増クリニック
131929652,髙島クリニック
131929660,医療法人社団　貴和会　小川医院
131929678,医療法人財団　健康文化会　小豆沢病院付属高島平診療所
131929686,よう整形外科
131929694,風見医院
131929702,よつくら医院
131929744,医療法人社団　惠一会　板橋耳鼻科成増医院
131929769,医療法人社団　晴朗会　かみいた南クリニック
131929777,医療法人社団　学時会　木下整形・形成外科
131929785,医療法人社団　幸人会　志村駅前クリニック
131929793,医療法人社団　孝志会　千川医院
131929801,医療法人社団　敬天会　鶴田クリニック
131929827,鈴木眼科医院
131929843,三上整形外科医院
131929850,医療法人社団　雄寧会　太田眼科医院
131929868,辻川医院
131929876,倉科内科クリニック
131929884,小林皮膚科
131929892,本橋医院
131929918,医療法人社団　敬信会　クリニック高島平
131929934,田島内科医院
131929967,医療法人社団　孝慈会　中台医院
131929983,医療法人財団　朔望会　四葉クリニック
131929991,亀田整形外科
131930007,田中医院
131930056,内藤医院
131930072,板橋幸町クリニック
131930080,医療法人社団　篠遠医院
131930148,医療法人社団　秀順博英会　高島平２丁目整形外科
131930155,医療法人社団　恵陽会　長沢医院
131930163,医療法人社団　光堂会　柳澤クリニック
131930189,おおの内科クリニック
131930205,わかば医院
131930213,小豆沢病院附属本蓮沼診療所
131930221,板橋中央総合病院付属アイ・タワークリニック
131930254,いしかわ耳鼻咽喉科クリニック
131930262,医療法人社団　慈善会　大山皮膚科医院
131930270,医療法人社団　謙明会　熊谷眼科クリニック
131930288,医療法人社団　蓮根メディカルクリニック
131930296,医療法人社団　星霞会　よこた内科・消化器科
131930312,医療法人社団　健進誠和会　大竹耳鼻咽喉科
131930320,さいしょ小児科
131930387,奥村整形外科
131930403,医療法人社団　仁潤会　うえだクリニック
131930411,木村内科クリニック
131930429,医療法人社団　幸人会　皮膚科・サンクリニック
131930437,宮内医院
131930452,清洲クリニック
131930460,花岡医院
131930478,松下皮膚科クリニック
131930486,医療法人社団　公愛会　冲永眼科クリニック
131930494,医療法人社団　慈眼会　小暮眼科
131930544,岡村整形外科クリニック
131930551,医療法人財団　明理会　大和病院附属大和ロイヤルクリニック
131930569,上板橋診療所
131930585,高島平眼科クリニック
131930619,大森メディカルクリニック
131930627,医療法人社団　希光会　西尾医院
131930635,大山東方クリニック
131930650,医療法人社団　正有会　高橋医院
131930668,うつみ医院
131930676,新河岸クリニック
131930684,上板橋松山内科クリニック
131930692,島田医院
131930700,北村眼科医院
131930734,弘瀬眼科
131930742,本多医院
131930767,医療法人社団　優　やごうクリニック
131930791,花田医院
131930833,飯野眼科
131930858,はなだ内科クリニック
131930882,赤塚耳鼻咽喉科
131930916,櫻井産婦人科
131930924,江口眼科
131930932,野村循環器科内科クリニック
131930940,みなくちクリニック
131930957,藤吉クリニック
131930973,鈴木クリニック
131930981,ふるた小児クリニック
131931021,板橋区平日夜間応急こどもクリニック
131931039,小豆沢整形外科
131931047,医療法人社団　昊庸会　有賀小児クリニック
131931062,医療法人社団　勇仁会　北角診療所
131931088,医療法人社団　和好会　診療所クリニックみずき
131931096,いわい耳鼻咽喉科クリニック
131931104,赤塚眼科山田医院
131931120,光が丘クリニック
131931138,ねづクリニック
131931146,医療法人財団　健康文化会　下赤塚診療所
131931153,元内科・胃腸科クリニック
131931161,新板橋クリニック
131931179,ベルーガクリニック
131931211,桜川ファミリークリニック
131931229,医療法人社団　藤昭会　後藤こどもクリニック
131931237,医療法人社団　はっとり小児科
131931245,医療法人社団　渡辺医院
131931252,医療法人社団　水樹会　つつみクリニック
131931260,新板橋冲永眼科
131931278,萩原医院
131931286,医療法人社団　明芳会　板橋中央総合病院附属　板橋セントラルクリニック
131931294,西台内科
131931302,医療法人社団　秀道会　秀クリニック
131931310,医療法人社団　友晃会　藤田医院
131931328,医療法人社団　和会　あべこどもクリニック
131931336,耳鼻咽喉科大山中丸クリニック
131931344,城西クリニック
131931351,小豆沢耳鼻科クリニック
131931369,田丸小児科内科医院
131931377,医療法人社団　平和会　和気医院
131931385,宮下内科医院
131931401,医療法人社団　翠会　こころのクリニック高島平
131931419,松月院通りクリニック
131931427,ひらつかクリニック
131931435,医療法人社団　みえこ女性クリニック
131931443,医療法人社団　せきねクリニック
131931468,多比良医院
131931476,じゅりクリニック
131931484,おだ整形外科クリニック
131931492,田原胃腸科
131931500,医療法人社団　内田会　内田診療所
131931518,なります耳鼻咽喉科
131931542,医療法人社団　耳鼻咽喉科いとうクリニック
131931559,医療法人社団　経仁会　幸南クリニック
131931567,医療法人社団　惠星会　花岡耳鼻咽喉科医院
131931575,吉野内科クリニック
131931583,医療法人社団　典雅会　おおやまクリニック
131931591,はなまるキッズクリニック
131931609,小田島こどもクリニック
131931617,もり眼科クリニック
131931625,そう内科クリニック
131931658,耳鼻咽喉科いいだクリニック
131931666,冨山整形外科
131931674,久志本皮フ科
131931682,おおの耳鼻咽喉科クリニック
131931690,やすだクリニック
131931716,志村ヒフ科クリニック
131931724,医療法人社団　喜桜会　五本けやき整形外科
131931732,ときわ台レディースクリニック
131931781,西台クリニック
131931799,さとう耳鼻咽喉科医院
131931807,郡医院
131931815,あおぞらクリニック
131931823,斎藤医院
131931831,医療法人社団　和親会　いわた医院
131931898,医療法人社団　石川記念会　板橋石川クリニック
131931914,地方独立行政法人　東京都健康長寿医療センター　研究所附属診療所
131931922,野村医院
131931948,医療法人社団　幸真会　板橋すばる眼科
131931955,西台診療所
131931963,医療法人社団　博鳳会　敬愛病院附属クリニック
131931971,双葉町クリニック
131931989,医療法人社団　躍心会　髙田皮膚科クリニック
131931997,医療法人社団　北桜会　東武練馬クリニック
131932011,天谷医院板橋診療所
131932052,医療法人社団　躍心会　高島平東口クリニック
131932060,高島平診療所堀口内科小児科
131932078,ときわ台村中眼科
131932086,宮田クリニック
131932094,相生皮膚科クリニック
131932102,医療法人社団　信尚会　堀井医院
131932110,医療法人社団　愛桜会　赤塚幸クリニック
131932128,医療法人社団　山紀会　板橋皮膚科クリニック
131932136,はすぬま内科
131932169,三浦内科医院
131932177,平山医院
131932185,久保糖尿病・老年内科医院
131932193,かとう内科クリニック
131932201,くわこ循環器科内科クリニック
131932227,あかまつ透析クリニック
131932235,すずき内科
131932243,たくみ内科
131932250,よつば整形外科
131932268,医療法人社団　躍心会　高島平メンタルクリニック
131932292,高見医院
131932318,板橋区役所前診療所
131932326,常盤台らいおん整形外科
131932334,亀井消化器内科クリニック
131932342,よつば耳鼻咽喉科
131932359,やの内科・小児科クリニック
131932367,ねや内科クリニック
131932375,鈴木整形外科クリニック
131932383,あけお眼科医院
131932391,すがやこどもクリニック
131932409,こうのファミリーケア・クリニック
131932417,医療法人社団　桜聖会　大畑記念医院
131932425,医療法人社団　慈誠会　人間ドック会館クリニック
131932433,山櫻診療所
131932441,医療法人　知真会　小茂根内科クリニック
131932458,医療法人社団　仁恕会　メンタルクリニックいたばし
131932474,平沼クリニック
131932490,服部医院
131932508,つづきクリニック
131932516,高島平ライフクリニック
131932532,かのう耳鼻咽喉科クリニック
131932540,高木内科クリニック
131970029,医療法人社団　成和会　産婦人科病院成増産院
131970045,医療法人社団　慈誠会　上板橋第二病院
131970060,尾泉病院
131970078,医療法人社団　慈誠会　慈誠会徳丸リハビリテーション病院
131970102,医療法人社団　慈誠会　慈誠会若木原病院
131970144,医療法人社団　昭成会　田﨑病院
131970250,医療法人社団　誠志会　誠志会病院
131970417,医療法人社団　明芳会　高島平中央総合病院
131970714,飯沼病院
131970722,医療法人社団　正風会　小林病院
131970730,医療法人社団　和好会　金子病院
131970755,北村整形外科病院
131970763,医療法人社団　明芳会　イムス記念病院
131970789,医療法人社団　桃栄会　木村牧角病院
131970797,医療法人社団　慈誠会　慈誠会前野病院
131970805,医療法人社団　慈誠会　慈誠会成増病院
131970813,医療法人社団　叡宥会　安田病院
131970821,医療法人社団　慈誠会　慈誠会記念病院
131970839,医療法人社団　博鳳会　敬愛病院
131970847,医療法人社団　健育会　竹川病院
131970854,医療法人社団　慈誠会　東武練馬中央病院
131970862,東京都健康長寿医療センター
131970888,医療法人社団　明芳会　イムス板橋リハビリテーション病院
131970896,医療法人社団　慈誠会　上板橋病院
131970912,医療法人社団　慈誠会　浮間舟渡病院
131970920,医療法人社団　美誠会　板橋宮本病院
131970938,医療法人財団　明理会　東京腎泌尿器センター大和病院
132011724,医療法人財団　厚生協会　大泉病院
132011740,医療法人社団　一陽会　陽和病院
132011799,医療法人社団　野村慈豊会　桜台病院
132011807,医療法人社団　愛生会　北町病院
132015154,医療法人社団　慈雲堂内科病院
132016525,医療法人社団　浩生会　浩生会スズキ病院
132020337,北條医院
132020386,豊玉診療所
132020444,医療法人財団　豊島医院
132020758,神山医院
132021731,松本医院
132021772,舟波外科医院
132022036,秋山医院
132022408,宮路医院
132022473,下出医院
132023083,医療法人財団　健康文化会　練馬第一診療所
132023265,医療法人財団　健康文化会　練馬第二診療所
132023463,鬼頭医院
132023562,西脇医院
132023752,北島耳鼻咽喉科医院
132023976,和田医院
132024032,山東外科胃腸科
132024156,富士見台診療所
132024289,真木医院
132024297,斉藤医院
132024420,小林医院
132024545,関町眼科医院
132024719,山田内科クリニック
132024909,菅広医院
132025377,平塚医院
132025419,寺田医院
132025559,石泉医院
132025641,ゆき医院
132025765,村上産婦人科医院
132026029,知久医院
132026060,宮島医院
132026185,櫻井医院
132026201,長田医院
132026342,江古田ひふ科
132026359,間遠医院
132026441,森岡整形外科
132026466,小藤田胃腸科医院
132026482,浅利小児科医院
132026532,栗林胃腸科外科
132026581,南町医院
132026649,津久井小児科内科医院
132026680,津久井クリニック
132026714,秦脳神経外科
132026771,奥原医院
132026870,山田耳鼻咽喉科医院
132026904,若松医院
132026995,あだにや医科歯科医院
132027159,清水眼科医院
132027209,渡辺クリニック
132027233,すずしろ医療生活協同組合　すずしろ診療所
132027258,青嶋医院
132027274,丸山整形外科
132027308,秋田眼科医院
132027316,大竹耳鼻咽喉科
132027332,中山内科・皮フ科クリニック
132027373,髙橋医院
132027431,加藤医院
132027498,医療法人社団　健志会　飯島医院
132027506,耳鼻咽喉科平山医院
132027548,沼口小児科医院
132027555,内科小児科柳澤クリニック
132027563,金岡胃腸科外科医院
132027571,光が丘眼科クリニック
132027613,大藤クリニック
132027621,糸数外科胃腸科医院
132027670,須澤クリニック
132027738,高山耳鼻咽喉科医院
132027753,皮フ科柳沢クリニック
132027761,森川医院
132027795,医療法人社団　白鳳会　大角医院
132027845,林内科胃腸科
132027951,医療法人財団　秀行会　阿部クリニック
132027969,一般社団法人　練馬区医師会　医療健診センター
132028009,廣瀬皮膚科
132028025,医療法人社団　明成会　森耳鼻咽喉科
132028033,医療法人社団　中山クリニック
132028066,医療法人社団　市毛整形外科診療所
132028074,医療法人社団　弥生会　原医院
132028082,医療法人社団　弘和会　歌橋医院
132028108,医療法人社団　宏陵会　大泉中央クリニック
132028124,医療法人社団　蘭松会　立野町蘭松医院
132028181,医療法人社団　浩陽会　はやみ医院
132028280,医療法人社団　弘希会　長嶺医院
132028298,医療法人社団　康和会　田中医院
132028322,医療法人社団　陽良会　平和台眼科医院
132028355,大野医院
132028371,医療法人社団　山口医院
132028389,国田眼科医院
132028439,後町外科胃腸科クリニック
132028454,医療法人社団　松永クリニック
132028462,井口医院
132028470,泉皮膚科クリニック
132028553,八木眼科クリニック
132028561,医療法人社団　浩誠会　臼井医院
132028603,医療法人社団　養生会　赤松レディスクリニック
132028611,医療法人社団　雙和会　原整形外科病院附属豊玉クリニック
132028660,医療法人社団　純友会　町田産婦人科
132028678,白戸医院
132028686,田村医院
132028694,瀧島医院
132028751,医療法人社団　東光会　光が丘耳鼻咽喉科医院
132028769,医療法人社団　翔真会　浜野小児科内科クリニック
132028827,立野メンタルクリニック
132028843,星野整形外科クリニック
132028868,竹内眼科
132028876,医療法人社団　真成会　野口医院
132028926,土橋皮膚科クリニック
132028934,田中内科医院
132028959,医療法人社団　いとう小児科クリニック
132028967,医療法人社団　一位会　木村医院
132028975,医療法人社団　留梨明会　わたなべこどもクリニック
132028991,医療法人社団　並正会　武田クリニック
132029015,奥村耳鼻咽喉科医院
132029056,医療法人社団　幸仁会　石原医院
132029072,医療法人社団　英泉会　佐伯医院
132029106,医療法人社団　宮本外科
132029114,おがたクリニック
132029122,上野医院
132029130,医療法人社団　平真会　薬師堂診療所
132029155,森田クリニック
132029197,まつのぶ小児クリニック
132029247,医療法人社団　ちひろ会　石塚医院
132029254,なかざわ皮膚科
132029262,本橋内科クリニック
132029288,医療法人社団　清栄会　加藤医院
132029304,医療法人社団　小林眼科医院
132029338,酒井内科医院
132029353,坪井医院
132029361,榊原医院
132029387,医療法人社団　金谷クリニック
132029395,医療法人社団　岡田医院
132029403,医療法人社団　健文会　小林クリニック
132029411,鈴木クリニック
132029437,医療法人社団　周生会　杉田クリニック
132029445,森クリニック
132029452,森口クリニック
132029460,水野整形外科
132029494,いずみ医療生活協同組合　大泉クリニック
132029502,秋田医院
132029536,岩野レディースクリニック
132029544,医療法人社団　光風会　大木耳鼻咽喉科医院
132029585,佐藤クリニック
132029593,荻野眼科医院
132029635,医療法人社団　川満惠光会　川満外科
132029643,医療法人社団　健和会　斎藤整形外科医院
132029650,医療法人社団　裕仁会　鈴木耳鼻咽喉科
132029676,練馬休日急患診療所
132029718,岩崎小児科医院
132029742,友松耳鼻咽喉科気管食道科医院
132029759,医療法人社団　祥和会　中村内科クリニック旭町分院
132029767,医療法人社団　清真会　麦島内科クリニック
132029775,冨田耳鼻咽喉科医院
132029833,いがらし小児科
132029858,医療法人社団　憲信会　関根ウィメンズクリニック
132029866,医療法人社団　アップル会　藤澤皮膚科
132029882,皮膚科岩田医院
132029890,澁谷眼科
132029924,医療法人社団　伸心会　練馬駅前メンタルクリニック
132029940,工藤医院
132029965,関クリニック
132029973,高野台クリニック
132029981,医療法人社団　仁孝会　ぬかりや医院
132029999,滝澤クリニック
132030013,高月医院
132030039,ねりま駅前眼科
132030047,医療法人社団　宏生会　反町医院
132030070,あきやま眼科
132030096,平井整形外科
132030112,伊藤内科医院
132030138,中杉通り整形外科
132030153,野口クリニック
132030187,医療法人社団　颯樹会　斉藤皮膚科
132030195,医療法人社団　橙樹会　光が丘内田クリニック
132030203,さいぐさ医院
132030211,山川クリニック
132030229,医療法人社団　善和会　小船内科医院
132030237,保谷駅前クリニック
132030294,森川眼科医院
132030302,医療法人社団　健新会　岸田眼科
132030310,斎藤医院
132030336,医療法人社団　石神井診療所
132030344,医療法人社団　博愛心会　中村耳鼻咽喉科医院
132030351,医療法人社団　尚仁会　中村内科クリニック
132030377,望月クリニック
132030385,平田医院
132030401,医療法人社団　真成会　新江古田診療所
132030419,西澤クリニック
132030450,篠原医院
132030468,竹宮医院
132030492,市毛診療所
132030500,医療法人社団　翔洋会　辻内科循環器科歯科クリニック
132030518,医療法人社団　健晟会　扇内医院
132030526,医療法人社団　あかつき会　後町クリニック
132030534,医療法人社団　栄心会　学園橋クリニック
132030542,医療法人社団　弘健会　菅原医院
132030559,藤原眼科医院
132030567,医療法人社団　大航会　オサムラクリニック
132030575,医療法人社団　武州会　富士見台駅前クリニック
132030583,西大泉呼吸器科内科クリニック
132030591,医療法人社団　晃仁会　内田クリニック
132030609,若野眼科医院
132030633,竹内整形外科
132030641,医療法人社団　渓悠会　権藤醫院
132030690,春日町診療所
132030724,島津産婦人科医院
132030740,高野台眼科
132030757,医療法人社団　秀佑会　腎クリニック高野台
132030781,高野台松本クリニック
132030799,医療法人社団　豊泉会　とよしま医院
132030807,久保寺眼科醫院
132030849,医療法人社団　俊恒会　中村橋眼科医院
132030856,医療法人社団　三世会　根岸小児科内科
132030864,医療法人社団　祥風会　学園皮フ科
132030922,藤岡クリニック
132030930,医療法人社団　宏仁会　若山整形外科
132030955,氷川台眼科
132030963,氷川台整形外科
132030989,たけ整形外科
132030997,平和台クリニック
132031029,医療法人社団　栄心会　田辺胃腸科
132031037,医療法人社団　松生会　臼杵クリニック
132031045,医療法人社団　つちやクリニック
132031052,城北公園クリニック
132031078,手塚医院
132031136,加藤医院
132031144,医療法人社団　文和会　豊玉北眼科クリニック
132031177,医療法人社団　文和会　中井医院
132031185,医療法人社団　三健会　渡辺整形外科内科医院
132031219,玉木医院
132031284,医療法人　樫楠会　冨田高松クリニック
132031292,光が丘南佐藤医院
132031318,各務内科医院
132031375,医療法人社団　憲希会　藤野医院
132031409,うんのクリニック
132031417,小林内科クリニック
132031433,医療法人社団　和光会　藤成クリニック
132031482,加藤クリニック
132031508,増田整形外科医院
132031516,ゆうクリニック
132031524,後藤医院
132031532,水谷内科呼吸器科クリニック
132031557,中島眼科クリニック
132031573,医療法人社団　光洋会　光洋クリニック・光が丘
132031581,医療法人社団　内田こどもクリニック
132031599,耳鼻咽喉科まちの医院
132031607,医療法人社団　たいら整形外科クリニック
132031615,せき眼科医院
132031623,いとう内科クリニック
132031631,医療法人社団　幸人会　石神井整形外科クリニック
132031656,おおた眼科
132031680,関町内科クリニック
132031698,大野医院
132031706,医療法人社団　泉山会　山本皮膚科医院
132031748,石黒内科クリニック
132031763,医療法人社団　康佑会　大江戸整形外科内科
132031771,医療法人社団　花岡医院
132031789,あんずクリニック
132031797,医療法人社団　恵瑛会　上杉耳鼻咽喉科医院
132031805,医療法人社団　慶誠会　佐々木医院
132031813,医療法人社団　向笑会　花岡由美子女性サンテクリニック
132031839,医療法人社団　慈守会　池田医院
132031847,医療法人社団　明堂会　林耳鼻咽喉科医院
132031862,医療法人社団　凌山会　たかまつクリニック
132031870,医療法人社団　徳枝会　佐藤皮膚科小児科クリニック
132031888,医療法人社団　憲幸会　田村内科小児科医院
132031896,医療法人社団　千年会　いかいクリニック
132031912,森田眼科
132031920,大泉学園桜クリニック
132031953,医療法人社団　じんの内科医院
132031961,医療法人社団　澄笛会　竹下医院
132031987,医療法人社団　真整会　平和台整形外科内科
132031995,加藤眼科医院
132032050,医療法人社団　健水会　練馬中央診療所
132032076,練馬桜台クリニック
132032100,医療法人社団　侑佳会　岡田内科クリニック
132032118,小原クリニック
132032126,落合クリニック
132032134,ねりま皮フ科クリニック
132032167,医療法人社団　のと小児科クリニック
132032191,医療法人社団　アイディーエス　じぶクリニック
132032209,高橋消化器科内科クリニック
132032217,大野医院
132032225,川邊内科
132032241,寺嶋整形外科医院
132032258,マサキ小児科アレルギー科
132032266,医療法人社団　育慈会　わたなべこどもクリニック
132032282,医療法人社団　優人会　優人クリニック
132032290,仲町メディカルクリニック
132032324,医療法人社団　地精会　金杉クリニック
132032332,鹿田皮膚科
132032357,医療法人社団　一陽会　こころのクリニック石神井
132032373,石神井休日急患診療所
132032415,野クリニック
132032431,田村外科クリニック
132032449,耳鼻咽喉科木戸クリニック
132032456,森岡クリニック
132032464,希内科クリニック
132032506,医療法人社団　友健会　浅村こどもクリニック
132032514,落合眼科
132032522,関町こどもクリニック
132032555,さいとうクリニック
132032563,佐藤メンタルクリニック
132032571,仲村医院
132032621,医療法人社団　春日町眼科
132032639,医療法人社団　横山三慶会　橋本クリニック
132032654,学園しょうにか
132032670,医療法人社団　仁木眼科医院
132032688,医療法人社団　北町整形外科医院
132032712,めぐみ医院
132032720,いしかわ眼科
132032746,うちだ内科クリニック
132032761,医療法人社団　大晃会　渡辺医院
132032779,医療法人社団　上石神井サン・クリニック
132032803,鈴木医院
132032811,大泉皮膚科クリニック
132032829,伊藤内科
132032837,平和台耳鼻咽喉科
132032894,医療法人社団　大関会　北原クリニック
